Developer,Total_Sales,Avg_Critic_Score,Avg_User_Score,Title_Count
Danger Close,2.89,54.33,5.6,1
Digital Extremes,2.89,76.56,7.46,6
Black Ops Entertainment,2.87,53.88,6.4,6
Bandai,2.87,58.62,7.88,10
Take-Two Interactive,2.87,71.06,7.55,10
Hellbent Games,2.83,55.75,7.45,4
"Ea Dice, Danger Close",2.81,75.0,7.5,1
Crave,2.81,63.67,6.86,17
Neko Entertainment,2.8,64.6,6.96,17
3Do,2.8,55.29,5.75,14
Starbreeze,2.74,79.09,8.01,6
Robomodo,2.74,53.67,3.88,3
"Koei, Omega Force",2.73,54.14,6.73,5
Factor 5,2.7,82.5,8.1,2
Vis Entertainment,2.7,57.0,6.54,3
Human Soft,2.7,65.67,7.64,9
Big Blue Box,2.66,85.0,8.5,1
Remedy Entertainment,2.66,81.14,7.67,4
Ea Sports Big,2.63,89.33,8.47,2
Hangar 13,2.62,66.0,4.3,1
Alfa System,2.62,68.25,7.71,8
Cooking Mama Limited,2.62,65.0,6.47,4
Paradox Development,2.62,51.12,7.06,5
Vicious Cycle,2.6,61.89,7.3,9
Nihilistic,2.58,56.8,6.44,4
Relic,2.58,79.93,7.63,12
"Ready At Dawn, Sce Santa Monica",2.56,67.0,7.45,2
8Ing/Raizing,2.56,74.0,8.33,3
Double Fine Productions,2.55,83.0,7.88,3
Behaviour Interactive,2.55,67.06,6.44,8
"Ubisoft Reflections, Ivory Tower",2.52,65.33,5.9,1
Genuine Games,2.5,42.5,5.4,2
Tamsoft,2.5,61.8,6.53,10
Powerhead Games,2.49,67.09,6.95,11
Playground Games,2.48,88.5,7.8,2
Planet Moon Studios,2.46,69.0,7.28,4
Giants Software,2.46,60.0,6.76,5
Cyan Worlds,2.45,81.0,7.55,2
"Namco Bandai Games America, Namco Bandai Games",2.44,68.71,7.01,4
Pam Development,2.44,75.33,7.27,3
49Games,2.43,62.79,7.31,8
Gaijin Entertainment,2.43,65.09,7.09,5
Arenanet,2.42,83.6,8.46,5
Nixxes Software,2.41,77.56,7.52,7
Destineer,2.4,69.26,7.36,19
Ubisoft Romania,2.39,70.45,6.65,7
Game Republic,2.37,60.6,6.25,7
Surreal Software,2.36,73.67,8.15,4
Xpec,2.35,64.88,6.72,5
Grezzo,2.34,89.0,9.0,1
"Rare Ltd., Bigpark",2.34,66.0,6.5,1
Silicon Knights,2.33,58.29,6.37,4
Gust,2.32,68.44,7.27,15
Sony Online Entertainment,2.3,68.83,7.87,6
Zoo Games,2.3,69.74,7.56,17
Melbourne House,2.29,68.33,7.73,3
Ambrella,2.29,52.33,6.33,3
Digital Kids,2.29,71.0,7.71,7
"Hal Labs, Creatures Inc.",2.28,68.0,8.2,1
Studio Liverpool,2.27,82.33,7.93,6
Vingt-Et-Un Systems,2.26,58.33,7.5,3
K2 Llc,2.24,57.57,7.1,7
Ubisoft Toronto,2.23,80.75,7.6,1
Propaganda Games,2.23,62.33,6.3,2
Pacific Coast Power & Light,2.23,59.83,6.97,3
Capcom Vancouver,2.22,72.0,6.67,2
Savage Entertainment,2.22,67.67,8.0,3
Kuju Entertainment,2.22,70.36,7.61,11
"Climax Group, Climax Studios",2.21,75.0,7.5,8
Coresoft,2.2,67.67,7.76,7
Zenimax Media,2.18,74.0,7.05,1
Inis,2.18,72.6,7.38,5
Clover Studio,2.18,80.62,7.88,5
Grin,2.18,59.17,6.37,3
Imaginengine,2.16,69.71,6.33,6
Big Huge Games,2.15,82.67,7.98,4
Warthog,2.13,61.0,7.32,7
Mercury Steam,2.11,72.0,7.75,3
Jellyvision,2.1,74.67,7.5,3
Gorilla Systems,2.09,67.43,6.66,7
High Impact Games,2.09,70.8,6.72,3
Blue Planet Software,2.08,44.0,6.2,1
"Electronic Arts, Rebellion",2.08,61.5,6.4,1
Gameloft,2.06,60.44,6.98,9
Supermassive Games,2.05,75.5,8.1,2
"Red Storm Entertainment, Ubisoft Paris",2.05,85.0,8.1,1
Atari,2.05,68.44,7.73,8
Sidhe Interactive,2.05,62.3,7.03,6
Red Fly Studio,2.02,58.71,6.89,5
3D6 Games,2.01,62.5,6.83,4
Vanillaware,2.01,80.43,8.0,4
Spike Chunsoft,2.01,69.8,7.59,7
"Gearbox Software, 3D Realms",2.0,51.33,5.0,1
Ubisoft Reflections,1.99,75.75,7.12,1
Acclaim Studios Austin,1.99,74.75,7.78,4
Check Six Games,1.97,56.0,4.1,1
Razorworks Studios,1.97,55.62,7.45,5
Eden Studios,1.97,72.0,7.27,6
"Playground, Playground Games",1.96,85.0,8.4,1
Splash Damage,1.96,73.5,6.47,2
Atomic Planet Entertainment,1.95,61.0,7.65,8
"Flagship, Hal Labs",1.94,71.0,8.1,1
Reality Pump,1.9,65.75,6.4,2
Marvelous Entertainment,1.87,61.29,7.13,7
Locomotive Games,1.86,67.0,7.05,2
Rockstar London,1.85,71.67,8.2,2
Kce Studios,1.85,57.2,7.52,5
"Blue Byte, Related Designs",1.81,82.5,7.9,2
Marvelous Aql,1.81,72.67,7.97,3
"Image Epoch, Imageepoch",1.81,63.33,7.34,9
Trion Worlds,1.8,66.75,6.97,2
"Sega, Sonic Team",1.79,73.0,8.4,2
Turtle Rock Studios,1.79,75.67,4.57,1
Endemol,1.79,71.0,7.5,2
Piranha Games,1.78,61.5,6.95,3
Pitbull Syndicate,1.76,72.0,8.05,1
Realtime Worlds,1.75,83.0,8.0,1
Light Weight,1.74,56.25,5.62,4
4A Games,1.74,80.0,8.24,2
Telltale Games,1.72,64.64,6.63,6
"Epic Games, People Can Fly",1.71,83.0,7.67,1
Bugbear,1.71,73.55,7.55,6
Hello Games,1.7,71.0,4.5,1
Creat Studios,1.7,51.5,7.29,9
Blue Fang Games,1.69,71.17,8.1,4
Uds,1.66,60.67,7.23,5
Bigbig Studios,1.65,71.0,7.42,4
Pocket Studios,1.64,44.0,6.0,2
Ea Seattle,1.62,71.5,7.35,1
2K Australia,1.62,75.33,6.3,1
Midway Studios - Austin,1.62,67.6,7.54,3
Runecraft,1.61,55.6,7.32,4
Collision Studios,1.61,58.67,6.26,7
Inti Creates,1.61,65.0,6.64,8
"Mistwalker, Artoon",1.6,74.67,7.9,3
Haemimont,1.6,71.0,7.19,7
Treasure,1.58,76.36,7.86,11
Q Entertainment,1.58,77.1,7.54,9
Steel Monkeys,1.57,55.0,7.55,1
Ganbarion,1.57,69.57,7.8,4
Mind Candy,1.54,71.0,7.5,1
The Code Monkeys,1.54,54.5,6.25,2
Land Ho!,1.54,71.0,7.5,3
Big Blue Bubble Inc.,1.54,63.0,7.03,6
Opus,1.54,58.11,7.18,9
Falcom,1.54,80.44,8.11,7
"Naughty Dog, Sony Bend",1.53,80.0,7.4,1
Marvelous,1.53,76.6,9.0,5
Rage Software,1.52,68.83,7.63,4
"Genius Sonority Inc., Disney Interactive Studios",1.51,71.0,7.8,1
"Square Enix, Tri-Ace",1.51,73.0,6.95,2
"Crystal Dynamics, Nixxes Software",1.5,86.0,8.3,3
Avanquest Software,1.5,71.0,7.5,5
Eden,1.49,70.0,6.07,1
Engine Software,1.49,75.6,7.45,6
Eighting,1.49,64.67,7.92,6
Barking Lizards,1.48,71.0,6.5,1
Media Vision,1.47,66.0,7.26,9
Skyworks Technologies,1.46,55.0,7.38,6
Airtight Games,1.45,60.75,6.59,2
Bigpark,1.43,52.0,5.0,1
Novarama,1.43,67.5,6.98,6
"Ea Canada, Nihilistic",1.43,55.0,6.5,1
"Digital Extremes, 2K Marin",1.42,94.0,8.7,1
Flagship,1.42,89.0,9.0,1
Ubisoft Sofia,1.42,71.5,7.5,2
Keen Games,1.42,73.2,8.22,3
Barnstorm Games,1.41,71.0,7.5,1
Indie Built,1.41,72.25,8.3,4
Anchor,1.41,69.67,7.5,3
Buzz Monkey,1.4,57.0,6.2,2
"Kush Games, Visual Concepts",1.39,82.67,8.27,1
Arzest,1.38,64.0,6.1,1
M2,1.38,73.0,7.3,3
"Square Enix, Think And Feel",1.37,81.0,6.1,1
Big Sky Software,1.37,59.67,6.67,2
Paon Corporation,1.37,64.4,7.12,5
Left Field Productions,1.36,63.82,7.08,5
The Coalition,1.35,84.0,6.2,1
D3Publisher,1.35,67.0,7.5,5
Rockstar Vienna,1.34,73.0,8.2,1
3G Studios,1.34,47.67,5.73,3
Fasa Studio,1.34,77.0,8.15,2
"Dimps Corporation, Namco Bandai Games",1.34,71.5,7.4,1
Takara,1.34,63.33,7.77,6
Project Soul,1.33,79.0,6.45,1
"Tetris Online, Inc",1.32,74.0,6.65,1
Pipe Dream Interactive,1.31,58.25,7.05,4
Inti,1.31,79.25,8.9,4
Cing,1.31,71.8,8.1,5
Good-Feel,1.3,78.0,8.5,1
Jester Interactive,1.3,71.25,8.35,4
Chris Sawyer,1.29,72.5,8.0,2
Wxp,1.28,68.75,7.7,3
Idol Minds,1.28,60.25,6.85,3
"Opus, Project Sora",1.27,83.0,8.7,1
"Nintendo, Spike Chunsoft",1.27,59.0,6.3,1
"Thq, Yuke'S",1.27,78.0,8.0,1
Overworks,1.27,82.67,8.83,3
Red Entertainment,1.27,69.75,7.55,4
Sensory Sweep,1.27,59.82,6.61,9
"Nintendo, Nintendo Software Technology",1.26,72.0,7.6,2
Longtail Studios,1.26,60.33,6.2,3
"Tarsier Studios, Double Eleven",1.25,88.0,8.6,1
"Spike Chunsoft Co. Ltd., Spike Chunsoft",1.25,69.0,8.8,1
"Capcom, Pipeworks Software, Inc.",1.25,75.5,8.6,1
Kouyousha,1.25,71.0,7.5,3
Sting,1.25,67.58,7.93,8
"Id Software, Raven Software",1.24,72.33,7.4,1
Yager,1.24,74.75,8.43,2
Dancing Dots,1.23,71.0,7.5,3
Neo Software,1.22,89.0,8.3,1
Tri-Crescendo,1.22,72.25,7.65,3
"Ascaron Entertainment Gmbh, Ascaron Entertainment",1.21,70.67,7.1,1
Gorilla Games,1.2,71.0,6.73,2
Spicy Horse,1.2,71.67,8.13,1
Pocketeers,1.2,70.33,8.07,3
Wow Entertainment,1.2,70.43,7.91,7
Mistic Software,1.2,67.56,7.43,8
Piranha Bytes,1.2,57.89,5.82,4
Blizzard North,1.19,87.5,8.95,2
"Team Ninja, Tecmo",1.19,59.5,6.8,2
Aspect,1.19,70.0,7.63,3
"Omega Force, Tecmo Koei Games",1.18,64.0,6.5,1
Saffire,1.18,56.0,7.7,6
Hijinx Studios,1.18,70.0,6.83,3
Dreamfactory,1.17,60.0,7.58,4
"Cyberconnect2, Racjin",1.17,74.0,7.15,1
Data Design Interactive,1.16,60.67,3.71,14
Barnhouse Effect,1.15,61.67,8.03,3
Titus Software,1.14,57.17,6.08,5
Infinite Interactive,1.14,68.0,6.9,5
"Level 5, Brownie Brown",1.13,73.0,8.6,1
Dontnod Entertainment,1.13,76.67,8.03,2
Ruffian Games,1.12,70.0,6.0,1
Nerve Software,1.12,76.5,8.05,2
"Ea Sports, Ea Canada",1.11,79.0,5.75,1
"Lucasarts, Krome Studios",1.11,57.75,6.45,1
"Ea Redwood Shores, Ea Salt Lake",1.09,66.0,4.4,1
"Mad Doc Software, Rockstar Vancouver",1.09,76.0,7.9,1
Brownie Brown,1.09,69.0,7.43,3
Sega Racing Studio,1.09,75.33,7.27,1
Triumph Studios,1.09,76.6,7.86,2
