Publisher,Years_Active,First_Year,Last_Year,Total_Sales,Avg_Critic_Score,Title_Count
Playmates,0,1997,1997,0.28,71.0,1
Nichibutsu,0,1995,1995,0.28,71.0,1
Game Life,2,2007,2009,0.28,60.0,2
Daedalic,3,2009,2012,0.28,76.67,3
Excalibur Publishing,1,2011,2012,0.28,71.0,4
Data Design Interactive,2,2007,2009,0.28,71.0,3
Liquid Games,4,2002,2006,0.27,60.0,2
Culture Brain,19,1991,2010,0.27,71.0,4
Syscom,1,1998,1999,0.27,71.0,2
Vic Tokai,1,1996,1997,0.27,71.0,2
Telstar,3,1995,1998,0.27,71.0,3
Ascii Media Works,6,2008,2014,0.27,71.0,9
Cyberfront,6,2007,2013,0.27,71.0,14
Pacific Century Cyber Works,0,2002,2002,0.26,46.0,1
Nippon Telenet,0,1996,1996,0.26,71.0,2
Vir2L Studios,1,2008,2009,0.26,70.33,3
Axela,0,1998,1998,0.25,71.0,1
Paon,4,2007,2011,0.25,71.0,6
Asgard,5,2010,2015,0.25,71.0,8
Xing Entertainment,0,1997,1997,0.24,71.0,1
Tru Blu Entertainment,1,2014,2015,0.24,72.0,2
Yeti,10,2006,2016,0.24,71.0,10
American Softworks,0,1996,1996,0.23,71.0,1
Essential Games,1,2005,2006,0.23,65.0,3
Daito,0,2006,2006,0.23,71.0,4
Asmik Ace Entertainment,10,1996,2006,0.23,71.0,3
Detn8 Games,0,2007,2007,0.22,71.0,1
Bomb,0,1982,1982,0.22,71.0,1
Vatical Entertainment,0,2000,2000,0.22,64.0,1
O3 Entertainment,3,2004,2007,0.22,69.67,3
Quinrose,3,2011,2014,0.22,71.0,14
Sears,0,2007,2007,0.21,71.0,1
On Demand,0,1997,1997,0.21,71.0,1
Mercury Games,1,2007,2008,0.21,66.25,4
Tommo,4,2007,2011,0.21,71.0,5
Merscom Llc,0,2009,2009,0.2,71.0,1
Funcom,2,2010,2012,0.2,78.5,2
Funsta,1,2006,2007,0.2,65.25,3
Slitherine Software,3,2007,2010,0.2,71.0,2
Micro Cabin,2,1994,1996,0.2,71.0,3
Ssi,0,1996,1996,0.19,71.0,1
System 3,0,2013,2013,0.19,54.5,1
Tripwire Interactive,5,2011,2016,0.19,76.0,2
Cdv Software Entertainment,6,2005,2011,0.19,72.5,6
Alternative Software,6,2010,2016,0.19,69.83,3
Happinet,2,2014,2016,0.19,71.0,5
Gamecock,0,2008,2008,0.19,50.75,3
Dhm Interactive,2,2007,2009,0.18,67.67,3
Media Works,11,1996,2007,0.18,71.0,4
Phenomedia,2,2007,2009,0.18,71.0,4
Adeline Software,0,1996,1996,0.17,71.0,1
Panther Software,0,1995,1995,0.17,71.0,1
Xicat Interactive,1,2002,2003,0.17,58.67,3
Asmik Corp,1,1994,1995,0.17,71.0,2
Insomniac Games,0,2016,2016,0.17,69.33,1
Sunrise Interactive,7,2000,2007,0.17,71.0,4
Aques,0,1997,1997,0.16,71.0,1
Gainax Network Systems,0,1998,1998,0.16,71.0,2
Tivola,1,2008,2009,0.16,71.0,3
White Park Bay Software,0,2007,2007,0.15,77.0,1
Data East,3,1995,1998,0.15,71.0,2
Global A Entertainment,2,2006,2008,0.15,70.75,4
Kaga Create,2,2013,2015,0.15,71.0,5
Comfort,3,2010,2013,0.15,71.0,6
Game Arts,0,1994,1994,0.14,71.0,1
Ea Games,0,2012,2012,0.14,75.0,1
General Entertainment,0,1998,1998,0.14,71.0,1
Imadio,0,1997,1997,0.14,71.0,1
Sony Music Entertainment,0,2001,2001,0.14,71.0,1
Scs Software,0,2012,2012,0.13,79.0,1
Havas Interactive,0,2000,2000,0.13,88.0,1
Dreamworks Interactive,0,1998,1998,0.13,71.0,1
Moss,5,2008,2013,0.13,67.0,2
Hmh Interactive,1,2008,2009,0.13,76.5,2
Respondesign,1,2004,2005,0.13,71.0,1
Myelin Media,0,2006,2006,0.13,62.33,1
Daedalic Entertainment,1,2012,2013,0.13,79.0,3
Crytek,0,2016,2016,0.12,65.0,1
Funsoft,0,1996,1996,0.12,71.0,1
Sps,0,1996,1996,0.12,71.0,1
T&E Soft,0,1993,1993,0.12,71.0,1
Nda Productions,0,2002,2002,0.12,54.0,1
Flight-Plan,2,2007,2009,0.12,71.0,2
Lsp Games,1,2002,2003,0.12,63.25,3
Milestone S.R.L,0,2016,2016,0.12,70.8,2
Dramatic Create,2,2014,2016,0.12,71.0,6
Gameloft,0,2007,2007,0.11,60.0,1
Simon & Schuster Interactive,0,2002,2002,0.11,71.0,1
Poptop Software,0,1999,1999,0.11,71.0,1
Toho,0,1993,1993,0.11,71.0,1
Pm Studios,0,2009,2009,0.11,77.0,1
Bohemia Interactive,0,2013,2013,0.11,74.0,1
10Tacle Studios,1,2006,2007,0.11,61.33,3
Pack-In-Video,0,1995,1995,0.11,71.0,2
Ascaron Entertainment Gmbh,4,2004,2008,0.11,72.33,3
Topware Interactive,8,2007,2015,0.11,70.5,2
Furyu Corporation,1,2015,2016,0.11,66.6,4
Inxile Entertainment,0,2015,2015,0.1,81.0,1
Gametek,0,1998,1998,0.1,71.0,1
Type-Moon,0,2014,2014,0.1,71.0,1
Enjoy Gaming Ltd.,0,2009,2009,0.1,71.0,1
Interplay Productions,0,1997,1997,0.1,71.0,1
Image Epoch,0,2012,2012,0.1,71.0,1
Phantom Efx,0,2009,2009,0.1,44.0,1
Creative Core,1,2008,2009,0.1,71.0,3
1C Company,2,2009,2011,0.1,73.0,3
Interchannel,2,2006,2008,0.1,71.0,4
Tgl,6,2009,2015,0.1,71.0,4
Griffin International,0,2010,2010,0.09,71.0,1
Culture Publishers,0,1998,1998,0.09,71.0,1
Hearty Robin,0,1996,1996,0.09,71.0,1
Nippon Amuse,0,2002,2002,0.09,71.0,1
Origin Systems,0,1997,1997,0.09,71.0,1
Edia,3,2006,2009,0.09,71.0,2
Athena,2,1999,2001,0.09,71.0,2
Revolution Software,0,2015,2015,0.09,74.5,1
Groove Games,1,2005,2006,0.09,51.5,2
Arika,6,2002,2008,0.09,69.67,3
Dusenberry Martin Racing,0,2016,2016,0.09,68.5,1
Tradewest,0,2010,2010,0.09,71.0,1
Seventh Chord,0,2013,2013,0.08,71.0,1
Abylight,0,2010,2010,0.08,71.0,1
Mitsui,0,1998,1998,0.08,71.0,1
Milestone,0,2008,2008,0.08,66.0,1
Glams,0,1995,1995,0.08,71.0,1
Crimson Cow,3,2008,2011,0.08,73.0,2
Cloud Imperium Games Corporation,0,2012,2012,0.08,54.0,1
Flashpoint Games,5,2005,2010,0.08,64.0,2
Experience Inc.,2,2014,2016,0.08,71.0,3
Iceberg Interactive,1,2011,2012,0.08,57.67,3
Mc2 Entertainment,1,2004,2005,0.08,74.0,3
Kid,8,1998,2006,0.08,71.0,4
Yuke'S,2,2005,2007,0.08,62.33,3
Locus,0,1998,1998,0.07,71.0,1
Warp,0,1997,1997,0.07,71.0,1
Elite,0,1996,1996,0.07,71.0,1
Evolution Games,0,1998,1998,0.07,71.0,1
Aria,0,2006,2006,0.07,71.0,1
Altron,0,2001,2001,0.07,71.0,1
Coconuts Japan,3,1993,1996,0.07,71.0,2
Misawa,1,1993,1994,0.07,71.0,2
Princess Soft,6,2002,2008,0.07,71.0,3
Encore,4,2001,2005,0.07,59.0,3
Fortyfive,0,1998,1998,0.06,71.0,1
Imax,0,1993,1993,0.06,71.0,1
Iwin,0,2011,2011,0.06,71.0,1
Ecole,0,2009,2009,0.06,71.0,1
Yumedia,0,1995,1995,0.06,71.0,1
Hal Laboratory,0,1989,1989,0.06,71.0,1
Grand Prix Games,0,2007,2007,0.06,71.0,1
Digicube,0,2002,2002,0.06,71.0,1
Mlb.Com,0,2016,2016,0.06,71.0,1
Alawar Entertainment,6,2009,2015,0.06,71.0,2
Sonnet,1,1995,1996,0.06,71.0,2
Virtual Play Games,0,2010,2010,0.06,71.0,2
Zenrin,1,2006,2007,0.06,71.0,2
Office Create,1,2013,2014,0.06,71.0,2
Gearbox Software,0,2016,2016,0.06,73.5,1
Licensed 4U,0,2012,2012,0.06,71.0,3
7G//Ames,0,2011,2011,0.06,71.0,2
Focus Multimedia,3,2012,2015,0.06,71.0,4
Wayforward Technologies,0,2015,2015,0.05,71.0,1
Marvel Entertainment,0,2015,2015,0.05,71.0,1
Ertain,0,2007,2007,0.05,66.0,1
Phantagram,0,2002,2002,0.05,74.0,1
The Learning Company,0,2000,2000,0.05,71.0,1
Technosoft,0,1998,1998,0.05,71.0,1
Vap,0,1994,1994,0.05,71.0,1
Navarre Corp,0,2008,2008,0.05,56.0,1
Pow,0,1995,1995,0.05,71.0,1
Mediaquest,0,1995,1995,0.05,71.0,1
Team17 Software,0,2010,2010,0.05,79.0,1
Max Five,0,2001,2001,0.05,62.0,1
Pony Canyon,0,2000,2000,0.05,71.0,1
Big Fish Games,6,2008,2014,0.05,71.0,2
Mamba Games,2,2008,2010,0.05,73.5,2
Sweets,3,2006,2009,0.05,71.0,2
Devolver Digital,5,2010,2015,0.05,79.5,2
Gn Software,4,2006,2010,0.05,71.0,3
Lexicon Entertainment,1,2007,2008,0.05,48.5,2
Minato Station,7,2008,2015,0.05,71.0,3
System Soft,3,2008,2011,0.05,71.0,4
Riverhillsoft,0,1995,1995,0.04,71.0,1
Summitsoft,0,2004,2004,0.04,71.0,1
Playmore,0,2002,2002,0.04,71.0,1
Kool Kizz,0,2003,2003,0.04,74.0,1
Monte Christo Multimedia,0,2007,2007,0.04,75.0,1
Legacy Interactive,0,2008,2008,0.04,43.0,1
Societa,0,1996,1996,0.04,71.0,1
Ivolgamus,0,2008,2008,0.04,62.0,1
2D Boy,0,2008,2008,0.04,90.0,1
Games Workshop,0,2016,2016,0.04,71.0,1
Imageepoch Inc.,0,2014,2014,0.04,71.0,2
Introversion Software,0,2016,2016,0.04,77.0,1
Sold Out,0,2016,2016,0.04,76.5,1
G.Rev,1,2009,2010,0.04,71.0,2
Yamasa Entertainment,0,2006,2006,0.04,71.0,2
Aerosoft,6,2010,2016,0.04,71.0,3
Gakken,0,2007,2007,0.04,71.0,2
Alvion,1,2009,2010,0.04,71.0,2
Kando Games,0,2006,2006,0.03,53.0,1
Maximum Family Games,0,2012,2012,0.03,71.0,1
Fields,0,2012,2012,0.03,71.0,1
Extreme Entertainment Group,0,2015,2015,0.03,71.0,1
Berkeley,0,2001,2001,0.03,71.0,1
Fuji,0,1995,1995,0.03,71.0,1
Her Interactive,0,2011,2011,0.03,71.0,1
Just Flight,0,2010,2010,0.03,64.0,1
Kamui,0,2010,2010,0.03,71.0,1
Ask,0,1996,1996,0.03,71.0,1
Cygames,0,2015,2015,0.03,71.0,1
49Games,0,2009,2009,0.03,71.0,1
Kss,0,1996,1996,0.03,71.0,1
Sunflowers,0,2004,2004,0.03,77.0,1
Headup Games,0,2013,2013,0.03,72.0,1
Kokopeli Digital Studios,0,1995,1995,0.03,71.0,1
Id Software,0,1992,1992,0.03,85.0,1
Nexon,0,2010,2010,0.03,71.0,1
Bushiroad,0,2012,2012,0.03,71.0,1
Number None,0,2009,2009,0.03,90.0,1
Tryfirst,0,2008,2008,0.03,71.0,1
Strategy First,0,2001,2001,0.03,74.0,1
Paon Corporation,0,2013,2013,0.03,71.0,1
Kids Station,0,2007,2007,0.03,71.0,1
Easy Interactive,0,2012,2012,0.03,71.0,2
Views,2,2012,2014,0.03,71.0,2
Blue Byte,0,2001,2001,0.03,81.0,2
Netrevo,2,2010,2012,0.03,71.0,2
Dorart,2,2008,2010,0.03,71.0,2
Stainless Games,0,2016,2016,0.03,51.5,1
Datam Polystar,5,2002,2007,0.03,71.0,2
Hunex,0,2015,2015,0.03,71.0,2
Goa,0,2008,2008,0.02,86.0,1
King Records,0,2002,2002,0.02,71.0,1
Graphsim Entertainment,0,2005,2005,0.02,90.0,1
Gaga,0,1996,1996,0.02,71.0,1
Plenty,0,2011,2011,0.02,71.0,1
Fonfun,0,2008,2008,0.02,71.0,1
Epic Games,0,2016,2016,0.02,71.0,1
Quintet,0,1998,1998,0.02,71.0,1
Phoenix Games,0,2007,2007,0.02,39.0,1
Marvelous Games,0,2015,2015,0.02,71.0,1
